Name,Website,Industry,City,Country,Funding Amount (USD),Funding Type,Founder Experience (Years),Team Size,Revenue (USD),Last Funding Date
EarthSync,earthsync.io,"EdTech, AI Tutoring",Delhi NCR,India,,Series E,2,418,"$478,000",June 2026
4baseCare,4basecare.com,"HRTech, Staffing",Mumbai,India,"$867,000",Series B,4,199,"$692,000",January 2026
Cava Athleisure,cavaathleisure.in,"Agritech, B2B Marketplace",Bengaluru,India,"$168,000",Pre-IPO,9,2280,$0,February 2026
JuniorGo,juniorgo.io,"Real Estate, PropTech",Jaipur,India,"$7,136,000",Series B,,186,"$910,000",March 2026
Entellus Industries,entellusindustries.com,"B2B Manufacturing, Contract Mfg",Chennai,India,"$701,000",Series C,5,275,"$2,159,000",February 2026
Krutrim AI,krutrimai.in,"Education, Finance, Personal Development",Ahmedabad,India,"$1,759,000",Series E,12,1442,"$4,114,000",February 2026
Ola Electric,olaelectric.io,"Mobility, EV",Kolkata,India,"$96,000",Growth Equity,8,666,$0,May 2026
Zepto,zepto.com,"Space Tech, DeepTech",Jaipur,India,"$882,000",Growth Equity,,1088,"$2,325,000",March 2026
IndiGrid Energy,indigridenergy.in,"Space Tech, DeepTech",Delhi NCR,India,"$867,000",Series B,7,85,"$220,000",April 2026
Healthkart,healthkart.io,"HRTech, Staffing",Chennai,India,"$199,000",Series E,1,673,,February 2026
Zypp Electric,zyppelectric.com,"HRTech, Staffing",Ahmedabad,India,"$9,450,000",Series D,12,255,"$1,948,000",May 2026
Mintifi,mintifi.in,"Travel, Hospitality",Gurugram,India,"$4,923,000",Series E,2,1202,$0,April 2026
Ninjacart,ninjacart.io,"EdTech, AI Tutoring",Kolkata,India,,Pre-Seed,2,12,$0,January 2026
Open Financial,openfinancial.com,"Quick Commerce, Logistics",Kolkata,India,"$9,472,000",Series E,2,1299,"$5,363,000",February 2026
Skyroot Aerospace,skyrootaerospace.in,"Fashion, Wellness, Consumer Goods, E-commerce",Delhi NCR,India,"$284,000",Seed,4,24,"$177,000",June 2026
Udaan,udaan.io,"Gaming, Entertainment",Pune,India,"$528,000",Seed,4,24,"$158,000",June 2026
Rapido,rapido.com,"Quick Commerce, Logistics",Chandigarh,India,"$2,477,000",Series B,15,,$0,April 2026
Primus Partners,primuspartners.in,"CleanTech, Energy, Solar",Noida,India,"$9,483,000",Series C,15,286,$0,February 2026
YesMadam,yesmadam.io,"Education, Finance, Personal Development",Hyderabad,India,"$4,933,000",Growth Equity,8,1809,"$9,867,000",February 2026
Moxie,moxie.com,"D2C, Beauty, Retail",Chandigarh,India,"$447,000",Series B,15,152,"$257,000",April 2026
Leap Finance,leapfinance.in,"Materials, Automotive, Electronics, EV, Manufacturing",Bengaluru,India,"$804,000",Series A,10,62,"$286,000",May 2026
CropIn,cropin.io,"Artificial Intelligence, B2B SaaS",Bengaluru,India,"$164,000",Seed,4,,$0,May 2026
Sarvam AI,sarvamai.com,"Gaming, Entertainment",Hyderabad,India,"$831,000",Series D,6,797,"$5,343,000",March 2026
Perfios,perfios.in,"Gaming, Entertainment",Delhi NCR,India,"$480,000",Pre-IPO,10,,"$81,000",February 2026
Detect Technologies,detecttechnologies.io,"Education, Finance, Personal Development",Ahmedabad,India,"$5,395,000",Pre-Seed,2,3,$0,March 2026
BluSmart,blusmart.com,"CleanTech, Energy, Solar",Bengaluru,India,"$57,000",Seed,10,27,"$105,000",May 2026
Shiprocket,shiprocket.in,"Travel, Hospitality",Chandigarh,India,"$701,000",Growth Equity,4,961,"$2,758,000",May 2026
Lenskart,lenskart.io,"Agritech, B2B Marketplace",Gurugram,India,"$783,000",Seed,12,12,"$48,000",February 2026
Smartstaff,smartstaff.com,"Education, Finance, Personal Development",Gurugram,India,"$829,000",Growth Equity,9,2125,$0,February 2026
Atomberg,atomberg.in,"EdTech, AI Tutoring",Mumbai,India,"$470,000",Series D,9,724,"$5,350,000",January 2026
Zetwerk,zetwerk.io,"Agritech, B2B Marketplace",Surat,India,"$68,000",Seed,3,29,"$47,000",January 2026
Purplle,purplle.com,"Gaming, Entertainment",Kolkata,India,"$298,000",Growth Equity,2,468,"$528,000",June 2026
Euler Motors,eulermotors.in,"Agritech, B2B Marketplace",Mumbai,India,"$3,556,000",Series C,5,122,"$161,000",January 2026
OneCode,onecode.io,"Fintech, Lending, B2B",Pune,India,"$330,000",Pre-Seed,4,11,"$72,000",February 2026
Infra.Market,inframarket.com,"CleanTech, Energy, Solar",Bengaluru,India,"$559,000",Pre-Seed,4,4,"$22,000",January 2026
NovaGrid,novagrid.in,"Travel, Hospitality",Kochi,India,"$237,000",Series E,20,586,"$532,000",May 2026
PixelForge,pixelforge.io,"Materials, Automotive, Electronics, EV, Manufacturing",Bengaluru,India,"$275,000",Seed,,20,"$52,000",June 2026
AgroNext,agronext.com,"Agritech, B2B Marketplace",Indore,India,"$1,812,000",Series C,,268,"$625,000",January 2026
ByteCare,bytecare.in,"Space Tech, DeepTech",Hyderabad,India,,Series D,8,405,$0,February 2026
UrbanNest,urbannest.io,"Artificial Intelligence, B2B SaaS",Mumbai,India,"$5,933,000",Series C,,219,$0,January 2026
FinWave,finwave.com,"Gaming, Entertainment",Kochi,India,"$7,827,000",Series A,6,51,$0,June 2026
CloudHarvest,cloudharvest.in,"Cybersecurity, SaaS",Jaipur,India,"$7,164,000",Series A,15,52,$0,January 2026
MedBridge,medbridge.io,"Gaming, Entertainment",Chandigarh,India,"$8,025,000",Pre-IPO,15,2683,$0,May 2026
TrustLayer,trustlayer.com,"Healthcare, AI, B2B Software",Delhi NCR,India,"$463,000",Series D,12,450,,January 2026
GreenRoute,greenroute.in,"Fashion, Wellness, Consumer Goods, E-commerce",Indore,India,"$5,350,000",Pre-IPO,2,2723,"$16,471,000",May 2026
DataKavach,datakavach.io,"B2B Manufacturing, Contract Mfg",Noida,India,"$686,000",Series E,12,601,"$3,424,000",January 2026
SwiftCart,swiftcart.com,"Cybersecurity, SaaS",Kolkata,India,"$496,000",Series A,12,65,"$260,000",January 2026
BharatPay,bharatpay.in,"Education, Finance, Personal Development",Surat,India,"$1,124,000",Pre-IPO,,4950,"$12,449,000",February 2026
NextGenix,nextgenix.io,"Quick Commerce, Logistics",Surat,India,"$1,661,000",Series B,6,180,"$583,000",January 2026
SkillBloom,skillbloom.com,"Insurance, Fintech",Surat,India,,Growth Equity,,2246,"$8,134,000",April 2026
QuantumLeaf,quantumleaf.in,"D2C, Beauty, Retail",Chennai,India,,Seed,20,14,"$37,000",March 2026
SolarSprint,solarsprint.io,"Mobility, EV",Mumbai,India,"$596,000",Series E,18,398,"$2,175,000",April 2026
FarmLink,farmlink.com,"Materials, Automotive, Electronics, EV, Manufacturing",Hyderabad,India,"$212,000",Series C,7,304,"$1,404,000",April 2026
CodeForge,codeforge.in,"Fashion, Wellness, Consumer Goods, E-commerce",Bengaluru,India,"$163,000",Series E,9,1267,"$3,064,000",April 2026
WellNest,wellnest.io,"CleanTech, Energy, Solar",Gurugram,India,"$672,000",Series B,3,178,"$383,000",March 2026
PayBridge,paybridge.com,"EdTech, AI Tutoring",Chandigarh,India,"$215,000",Growth Equity,9,1379,"$2,780,000",April 2026
TrackSwift,trackswift.in,"Artificial Intelligence, B2B SaaS",Indore,India,"$5,332,000",Series E,18,868,"$4,905,000",April 2026
EcoCharge,ecocharge.io,"Gaming, Entertainment",Jaipur,India,"$2,685,000",Series B,7,55,$0,January 2026
StackWise,stackwise.com,"HRTech, Staffing",Indore,India,"$1,002,000",Growth Equity,8,846,$0,May 2026
HireLoop,hireloop.in,"Materials, Automotive, Electronics, EV, Manufacturing",Ahmedabad,India,"$8,426,000",Seed,18,,"$148,000",June 2026
MetroMove,metromove.io,"Space Tech, DeepTech",Delhi NCR,India,"$701,000",Series C,5,398,$0,May 2026
CropSense,cropsense.com,"CleanTech, Energy, Solar",Hyderabad,India,"$987,000",Pre-Seed,12,6,"$14,000",January 2026
ByteWorks,byteworks.in,"HRTech, Staffing",Indore,India,,Series C,12,141,"$1,049,000",January 2026
ShopNova,shopnova.io,"Agritech, B2B Marketplace",Noida,India,"$4,337,000",Pre-Seed,18,11,$0,June 2026
CareConnect,careconnect.com,"Insurance, Fintech",Hyderabad,India,"$243,000",Series C,10,195,"$1,429,000",February 2026
FleetEdge,fleetedge.in,"Healthcare, AI, B2B Software",Kolkata,India,,Series A,,46,$0,April 2026
PulseAI,pulseai.io,"Healthcare, AI, B2B Software",Delhi NCR,India,"$878,000",Series E,3,679,"$2,721,000",April 2026
GreenWatt,greenwatt.com,"Space Tech, DeepTech",Jaipur,India,"$455,000",Series E,,1019,"$4,798,000",March 2026
RouteIQ,routeiq.in,"Quick Commerce, Logistics",Gurugram,India,"$445,000",Series D,4,657,$0,March 2026
LearnSphere,learnsphere.io,"Mobility, EV",Indore,India,"$2,681,000",Growth Equity,,,$0,January 2026
TaxEase,taxease.com,"Healthcare, AI, B2B Software",Pune,India,,Series B,6,61,"$175,000",June 2026
StyleCart,stylecart.in,"CleanTech, Energy, Solar",Pune,India,"$910,000",Pre-Seed,,10,"$63,000",June 2026
MedixAI,medixai.io,"CleanTech, Energy, Solar",Surat,India,"$507,000",Series E,15,609,"$1,764,000",April 2026
AgriBoost,agriboost.com,"Mobility, EV",Chandigarh,India,"$753,000",Seed,12,,"$157,000",May 2026
CloudNest,cloudnest.in,"Education, Finance, Personal Development",Mumbai,India,"$1,226,000",Series C,8,168,"$933,000",May 2026
SwiftServe,swiftserve.io,"Travel, Hospitality",Kochi,India,"$574,000",Seed,5,15,$0,March 2026
DataPulse,datapulse.com,"Agritech, B2B Marketplace",Delhi NCR,India,"$92,000",Series C,9,151,"$191,000",May 2026
UrbanCharge,urbancharge.in,"Insurance, Fintech",Surat,India,"$69,000",Series B,1,199,$0,April 2026
FinSecure,finsecure.io,"Fashion, Wellness, Consumer Goods, E-commerce",Chennai,India,"$280,000",Pre-IPO,10,3664,$0,February 2026
TechNova,technova.com,"Mobility, EV",Chennai,India,"$2,747,000",Series A,4,72,"$136,000",January 2026
GreenLeaf,greenleaf.in,"Space Tech, DeepTech",Mumbai,India,"$556,000",Series B,18,190,$0,January 2026
RapidCart,rapidcart.io,"Travel, Hospitality",Mumbai,India,"$423,000",Series A,7,39,"$141,000",April 2026
SkillForge,skillforge.com,"Artificial Intelligence, B2B SaaS",Kochi,India,"$729,000",Series D,7,633,$0,June 2026
CarePlus,careplus.in,"Fashion, Wellness, Consumer Goods, E-commerce",Gurugram,India,"$155,000",Series D,12,606,$0,April 2026
NextWave,nextwave.io,"Cybersecurity, SaaS",Surat,India,"$170,000",Series D,3,311,"$2,003,000",June 2026
BrightPath,brightpath.com,"Quick Commerce, Logistics",Pune,India,"$493,000",Series A,12,77,"$553,000",January 2026
EcoMobility,ecomobility.in,"Agritech, B2B Marketplace",Kolkata,India,"$826,000",Series E,1,1360,$0,May 2026
SmartFarm,smartfarm.io,"Mobility, EV",Mumbai,India,"$813,000",Series A,,68,"$199,000",February 2026
CloudGate,cloudgate.com,"D2C, Beauty, Retail",Kolkata,India,"$7,770,000",Growth Equity,4,1905,"$1,286,000",May 2026
PayFlow,payflow.in,"Cybersecurity, SaaS",Noida,India,"$6,238,000",Growth Equity,18,838,$0,February 2026
TrustNet,trustnet.io,"Mobility, EV",Gurugram,India,"$514,000",Series D,,521,"$473,000",January 2026
UrbanGrid,urbangrid.com,"Gaming, Entertainment",Surat,India,"$161,000",Series E,15,524,$0,June 2026
HealthLink,healthlink.in,"Insurance, Fintech",Pune,India,"$923,000",Series A,10,30,"$219,000",June 2026
EduSpark,eduspark.io,"B2B Manufacturing, Contract Mfg",Delhi NCR,India,"$4,909,000",Series C,9,290,$0,May 2026
FreshTrack,freshtrack.com,"Fintech, Lending, B2B",Gurugram,India,"$6,825,000",Series A,18,69,"$221,000",June 2026
ByteSecure,bytesecure.in,"B2B Manufacturing, Contract Mfg",Ahmedabad,India,"$890,000",Pre-IPO,12,3843,"$18,562,000",May 2026
GreenRide,greenride.io,"Mobility, EV",Chennai,India,"$621,000",Seed,9,28,"$209,000",April 2026
FinNova,finnova.com,"EdTech, AI Tutoring",Indore,India,,Pre-Seed,10,9,"$13,000",June 2026
CropGuard,cropguard.in,"Agritech, B2B Marketplace",Kolkata,India,,Pre-Seed,5,8,"$22,000",January 2026
StyleNova,stylenova.io,"Materials, Automotive, Electronics, EV, Manufacturing",Hyderabad,India,"$182,000",Series D,4,661,$0,May 2026
PulseCare,pulsecare.com,"Materials, Automotive, Electronics, EV, Manufacturing",Kochi,India,"$958,000",Series C,9,396,"$2,377,000",April 2026
